id	width	height	ar	flags
62b4288c-ced9-4830-89ec-39d05a9ebfca	4545	3520	1.2912	2
79259922-c53e-4679-be9e-ffc2a0ef3e6e	3386	4724	0.7168	1
b8e06d0e-31aa-4be7-8e4b-36fa362de6f7	3522	4542	0.7754	1
c91db633-8e6b-48e8-8411-06454845f1e4	3386	4724	0.7168	1
6f158059-d3d3-4e80-a59d-ea6c38bb2c9d	3175	5039	0.6301	1
0f50e95d-0958-4c5e-bd4f-036fdf03ee11	4731	3381	1.3993	2
ff7385b2-e75a-437e-9f83-851b270515e8	3482	4594	0.7579	1
da3b99ae-9043-4b56-83ad-ff6c3fb4b7cc	2033	3073	0.6616	1
36ea9608-6a9d-477c-95b6-1f14939030b5	2033	3073	0.6616	1
486d1815-b3b6-4d44-95e6-d420b0af3d20	3298	4849	0.6801	1
d6d17800-9629-4a72-bec0-a5415437348d	3409	2406	1.4169	2
7e4f0ac3-ce9e-43ea-aed4-77813be294c7	4019	2383	1.6865	2
41e84819-931b-4cf7-ace1-733697fa65e8	3278	4881	0.6716	1
4856d3da-9d9c-4a7b-9c17-a25c8eb73d50	3366	2418	1.3921	2
a5d01266-b384-4d1c-bdd1-5450bcce2056	2825	5206	0.5426	1
0f4b5b49-7608-4ce3-940a-e8c09e04d2f8	2760	4019	0.6867	1
1acfe5a5-1ac3-4961-813b-0b5725f5658d	2760	4019	0.6867	1
4c14d95a-d37b-45c3-baa1-698fcadfaede	1874	3025	0.6195	1
a67025b0-3d20-4595-b4d4-e4f93f4496ef	1874	3025	0.6195	1
24436be2-262b-4e99-b5e2-85d8a24288b0	3876	2822	1.3735	2
2dd43c2e-d347-4932-bde2-3e21ed615bd7	3762	2665	1.4116	2
5bcc170e-d262-4ea8-a3d8-a3df1b6f7dea	3762	2665	1.4116	2
9e785305-d2e1-4c3d-84a3-45867335e381	2845	3883	0.7327	1
e621fedd-2b26-41b0-968d-179832212c80	2704	3883	0.6964	1
e1cf3fa0-438f-4cb2-b2de-1562f7073677	2533	3521	0.7194	1
b2cf4ed1-c48d-47d2-8576-3addb539f829	2533	3521	0.7194	1
bb7c871b-4225-4f1d-8bde-a673d244007a	2659	4733	0.5618	1
eefab34d-b588-4fff-8ec4-cc2d9dfa7532	3288	4864	0.676	1
0d8d4705-13fb-4e42-861c-e6cb0988c88e	4965	3221	1.5414	2
80a1874c-6ffb-4b1b-a16a-903de63f16a8	4965	3221	1.5414	2
74ae53ff-f044-4b5c-9658-212b7e793ee7	4863	3290	1.4781	2
